callsign,frequency,band,names,nlu_names,location.city,location.country,location.full_state_name,location.state,free_search,geolocation.coordinates,geolocation.type,popularity
KBMW,92.7,FM,B92.7,"[""B92.7""]",Breckenridge,US,Minnesota,MN,"[""B92.7"",""92.7"",""KBMW"",""Breckenridge"",""FM""]","[-96.58809661865234,46.280601501464844]",Point,1
KAYD,101.7,FM,KD 101.7,"[""KD""]",Beaumont,US,Texas,TX,"[""KD 101.7"",""101.7"",""KAYD"",""Beaumont"",""FM""]","[-94.10179901123047,30.086000442504883]",Point,2
KSZR,97.5,FM,97.5 The Vibe,"[""The Vibe""]",Oro Valley,US,Arizona,AZ,"[""97.5 The Vibe"",""97.5"",""KSZR"",""Oro Valley"",""FM""]","[-110.96600341796875,32.390899658203125]",Point,2.1
KYLR,92.1,FM,Air1 Radio,"[""Air1 Radio""]",Hutto,US,Texas,TX,"[""Air1 Radio"",""92.1"",""KYLR"",""Hutto"",""FM""]","[-97.54669952392578,30.542699813842773]",Point,1.7
,,,Lam Rim Radio,"[""Lam Rim Radio""]",Orlando,US,Florida,FL,"[""Lam Rim Radio"",""Orlando""]","[-81.37920379638672,28.538299560546875]",Point,0.5
,,,Sleepbot Environmental Broadcast,"[""Sleepbot Environmental Broadcast""]",Seattle,US,Washington,WA,"[""Sleepbot Environmental Broadcast"",""Seattle""]","[-122.33200073242188,47.606201171875]",Point,1.2
WXJZ,100.9,FM,Classic Hits 100.9,"[""Classic Hits""]",Gainesville,US,Florida,FL,"[""Classic Hits 100.9"",""100.9"",""WXJZ"",""Gainesville"",""FM""]","[-82.31390380859375,29.634199142456055]",Point,1.7
WJSP,88.1,FM,GPB Radio,"[""GPB Radio""]",Warm Springs,US,Georgia,GA,"[""GPB Radio"",""88.1"",""WJSP"",""Warm Springs"",""FM""]","[-84.68099975585938,32.89039993286133]",Point,2.7
KYAL,1550,AM,KYAL,[],Sapulpa,US,Oklahoma,OK,"[""KYAL"",""1550"",""KYAL"",""Sapulpa"",""AM""]","[-96.09860229492188,36.01890182495117]",Point,0.1
KTSO,100.9,FM,KTSO,[],Sapulpa,US,Oklahoma,OK,"[""KTSO"",""100.9"",""KTSO"",""Sapulpa"",""FM""]","[-96.03720092773438,35.967201232910156]",Point,1.9
WCPR,97.9,FM,97.9 CPR Rocks,"[""CPR Rocks""]",D'iberville,US,Mississippi,MS,"[""97.9 CPR Rocks"",""97.9"",""WCPR"",""D'iberville"",""FM""]","[-88.89089965820312,30.426300048828125]",Point,2
WDMV,700,AM,Radio La Jefa,"[""Radio La Jefa""]",Walkersville,US,Maryland,MD,"[""Radio La Jefa"",""700"",""WDMV"",""Walkersville"",""AM""]","[-77.32420349121094,39.45750045776367]",Point,1.9
KUZZ,550,AM,KUZZ-FM,"[""KUZZ-FM""]",Bakersfield,US,California,CA,"[""KUZZ-FM"",""550"",""KUZZ"",""Bakersfield"",""AM""]","[-118.93699645996094,35.340301513671875]",Point,1.9
KWID,101.9,FM,La Buena,"[""La Buena""]",Las Vegas,US,Nevada,NV,"[""La Buena"",""101.9"",""KWID"",""Las Vegas"",""FM""]","[-115.00599670410156,36.0078010559082]",Point,1.1
,,,Braingell Radio,"[""Braingell Radio""]",Fruitland Park,US,Florida,FL,"[""Braingell Radio"",""Fruitland Park""]","[-81.90650177001953,28.861400604248047]",Point,1.5
,,,FRISKY Radio,"[""FRISKY Radio""]",New York,US,New York,NY,"[""FRISKY Radio"",""New York""]","[-74.00599670410156,40.714298248291016]",Point,0.9
