callsign,frequency,band,names,location.city,location.country,location.full_state_name,location.state
KBMW,92.7,FM,B92.7,Breckenridge,US,Minnesota,MN
KAYD,101.7,FM,KD 101.7,Beaumont,US,Texas,TX
KSZR,97.5,FM,97.5 The Vibe,Oro Valley,US,Arizona,AZ
KYLR,92.1,FM,Air1 Radio,Hutto,US,Texas,TX
WXJZ,100.9,FM,Classic Hits 100.9,Gainesville,US,Florida,FL
WJSP,88.1,FM,GPB Radio,Warm Springs,US,Georgia,GA
KYAL,1550,AM,KYAL,Sapulpa,US,Oklahoma,OK
KTSO,100.9,FM,KTSO,Sapulpa,US,Oklahoma,OK
WCPR,97.9,FM,97.9 CPR Rocks,D'iberville,US,Mississippi,MS
WDMV,700,AM,Radio La Jefa,Walkersville,US,Maryland,MD
KUZZ,550,AM,KUZZ-FM,Bakersfield,US,California,CA
KWID,101.9,FM,La Buena,Las Vegas,US,Nevada,NV
WBPC,95.1,FM,Beach 95.1,Ebro,US,Florida,FL
KDXX,107.9,FM,Latino Mix 107.9/107.1,Dallas,US,Texas,TX
KSGF,1260,AM,KSGF,Springfield,US,Missouri,MO
WYBK,89.7,FM,BBN Radio,Chattanooga,US,Tennessee,TN
WYGG,88.1,FM,Good News Radio,Asbury Park,US,New Jersey,NJ
WAMU-HD2,88.5,FM,Bluegrass Country,Washington,US,Washington D.C.,DC
WLLN,1370,AM,La Grande NC,Lillington,US,North Carolina,NC
XETRA,91.1,FM,91X,San Diego,US,California,CA
KPRB,106.3,FM,B106,Brush,US,Colorado,CO
KMAJ,107.7,FM,Majic 107.7 Topeka,Carbondale,US,Kansas,KS
WMAC,940,AM,News Talk 940 WMAdult Hits,Macon,US,Georgia,GA
WSB,750,AM,WSB,Atlanta,US,Georgia,GA
WQRR,101.7,FM,Alt 101.7,Reform,US,Alabama,AL
WZIQ,106.5,FM,GNNradio,Smithville,US,Georgia,GA
WDFB,88.1,FM,WDFB-FM,Danville,US,Kentucky,KY
WNAN,91.1,FM,WCAI,Nantucket,US,Massachusetts,MA
WWOD,93.9,FM,The River 93.9,Woodstock,US,Vermont,VT
W273BS,102.5,FM,WCCV,Chatsworth,US,Georgia,GA
WZEB,101.7,FM,WZEB Power 101.7,Ocean View,US,Delaware,DE
KPSL,96.5,FM,La Ley,Bakersfield,US,California,CA
KQMQ,93.1,FM,HI93,Honolulu,US,Hawaii,HI
KRVS,88.7,FM,KRVS Public Media,Lafayette,US,Louisiana,LA
KSMG,105.3,FM,MAGIC 105.3,Seguin,US,Texas,TX
WQNU,103.1,FM,WQNU,Lyndon,US,Kentucky,KY
KIWI,102.9,FM,Radio Lobo,McFarland,US,California,CA
WXCY,1510,AM,WXCY 103.7 & 96.9,Salem,US,New Jersey,NJ
WOPI,98.1,FM,WOPI-FM,Kingsport,US,Tennessee,TN
KUKN,105.5,FM,Cookin Country,Longview,US,Washington,WA
KBLW,90.1,FM,KXEI,Billings,US,Montana,MT
WKQK,1300,AM,WKQK,Cocoa Beach,US,Florida,FL
WDLM,89.3,FM,Moody Radio Quad Cities,East Moline,US,Illinois,IL
KIDO,580,AM,KIDO Talk Radio,Nampa,US,Idaho,ID
WPOL,1340,AM,WKEW,Winston-Salem,US,North Carolina,NC
WKBK,1290,AM,WKBK Radio,Keene,US,New Hampshire,NH
WCLV,104.9,FM,WCLV,Lorain,US,Ohio,OH
KPHW,104.3,FM,KPHW-FM,Kaneohe,US,Hawaii,HI
KVPR,89.3,FM,Valley Public Radio,Clovis,US,California,CA
KHCC,90.1,FM,Radio Kansas,Hutchinson,US,Kansas,KS
WOLW,91.1,FM,WOLW,Cadillac,US,Michigan,MI
KZRO,100.1,FM,KZRO/Z100FM/The Z-Channel,Dunsmuir,US,California,CA
,,,CalFIRE CZU (San Mateo/Santa Cruz Counties),Richmond,US,California,CA
WSHE,100.3,FM,WSHE,Chicago,US,Illinois,IL
KQBU,920,AM,Lone Star Sports Radio 920 AM,El Paso,US,Texas,TX
KIGN,101.9,FM,1019 KINGFM,Burns,US,Wyoming,WY
WCRN,830,AM,WCRN AM 830,Worcester,US,Massachusetts,MA
WEAN,99.7,FM,News Talk,Wakefield,US,Rhode Island,RI
WWKL,106.7,FM,Hot 106.7,Hershey,US,Pennsylvania,PA
KQEI,89.3,FM,KQED-FM,North Highlands,US,California,CA
WGBF,103.1,FM,103 GBF,Henderson,US,Kentucky,KY
,,,Artistfirst Radio,,US,Ohio,OH
,105.7,FM,Furia Grupera,Estados Unidos,US,New York,NY
WPZR,89.3,FM,Spirit FM,Emporia,US,Virginia,VA
,,,Eargazm Radio,Canterbury,US,Connecticut,CT
WQHU-LP,105.5,FM,Forester Radio,Huntington,US,Indiana,IN
,,,Railroad Radio San Francisco,San Francisco,US,California,CA
,,,SomaFM: Beat Blender,San Francisco,US,California,CA
WBLI,106.1,FM,106.1 BLI,Patchogue,US,New York,NY
K300AE,107.9,FM,KLOV,Breckenridge,US,Colorado,CO
K217ER,91.3,FM,KMBI-FM,Pateros,US,Washington,WA
K205CM,88.9,FM,KTLF,Salida,US,Colorado,CO
K269AB,101.7,FM,KMOZ-FM,Delta,US,Colorado,CO
W213BW,90.5,FM,WSKG-FM,Watkins Glen,US,New York,NY
K204CO,88.7,FM,KUSU-FM,Panguitch,US,Utah,UT
K204EX,88.7,FM,KTLC,Paonia,US,Colorado,CO
W259AH,99.7,FM,WPHN,Petoskey,US,Michigan,MI
K206CJ,89.1,FM,KRQZ,Issaquah,US,Washington,WA
W266BQ,101.1,FM,WVTF Music,Crozet,US,Virginia,VA
